"","Commodity.Name","City.Name","Type","package","package_size","package_size2","Variety","Sub.Variety","Date","Low.Price","High.Price","Mostly.Low","Mostly.High","Origin","Origin.District","Item.Size","Color"
"1","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-09-24,140,154.75,140,154.75,"MICHIGAN",NA,6,NA
"2","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-09-24,145,154.75,145,154.75,"MICHIGAN",NA,5,NA
"3","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-09-24,150,154.75,150,154.75,"MICHIGAN",NA,3,NA
"4","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-09-24,150,150,150,150,"MICHIGAN",NA,1,NA
"5","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-01,140,154.75,140,154.75,"MICHIGAN",NA,6,NA
"6","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-01,145,154.75,145,154.75,"MICHIGAN",NA,5,NA
"7","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-01,150,154.75,150,154.75,"MICHIGAN",NA,3,NA
"8","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-01,150,150,150,150,"MICHIGAN",NA,1,NA
"9","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-08,140,154.75,140,154.75,"MICHIGAN",NA,6,NA
"10","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-08,145,154.75,145,154.75,"MICHIGAN",NA,5,NA
"11","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-08,150,154.75,150,154.75,"MICHIGAN",NA,3,NA
"12","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-08,150,150,150,150,"MICHIGAN",NA,1,NA
"13","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-15,140,145,140,145,"ALABAMA",NA,2,NA
"14","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-15,140,154.75,140,154.75,"MICHIGAN",NA,6,NA
"15","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-15,145,154.75,145,154.75,"MICHIGAN",NA,5,NA
"16","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-15,150,154.75,150,154.75,"MICHIGAN",NA,3,NA
"17","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-15,150,150,150,150,"MICHIGAN",NA,1,NA
"18","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-22,140,145,140,145,"ALABAMA",NA,2,NA
"19","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-22,140,154.75,140,154.75,"MICHIGAN",NA,6,NA
"20","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-22,145,154.75,145,154.75,"MICHIGAN",NA,5,NA
"21","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-22,150,154.75,150,154.75,"MICHIGAN",NA,3,NA
"22","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-22,150,150,150,150,"MICHIGAN",NA,1,NA
"23","PUMPKINS","ATLANTA",NA,24,"inch","bins","HOWDEN TYPE","",2016-10-29,140,145,140,145,"ALABAMA",NA,2,NA
