Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,125,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,
